Product Name, Price (Rs), Rating, No. of customer Review, Product Url 
,,,,,,,,
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",,4.3 out of 5 stars,851,https://amazon.in//Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_44?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-44,,,,
,,,,,,,,
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,3.9 out of 5 stars,936,https://amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-45,,,,
,,,,,,,,
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,448,4.3 out of 5 stars,"12,999",https://amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-46,,,,
,,,,,,,,
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,3.8 out of 5 stars,850,https://amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-47,,,,
,,,,,,,,
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,229,4.3 out of 5 stars,"3,339",https://amazon.in//Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1688716535&sprefix=ba%2Caps%2C283&sr=8-48,,,,
,,,,,,,,
"STRABO Cooper for Boys Girls Stylish Men and Women Casual 15"" inch 25L CANVAS Laptop BACKPACK | Office, College, Travel Bag",699,4.3 out of 5 stars,40,https://amazon.in//STRABO-Cooper-Laptop-Bag-Capacity/dp/B0BX9SVT1D/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-49,,,,
,,,,,,,,
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,448,4.3 out of 5 stars,"12,999",https://amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-50,,,,
,,,,,,,,
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,4.0 out of 5 stars,427,https://amazon.in//NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-51,,,,
,,,,,,,,
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),"1,359",4.3 out of 5 stars,"7,987",https://amazon.in//HEROZ-Hammer-Durable-Travel-Laptop/dp/B07MGDFT9C/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-52,,,,
,,,,,,,,
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,3.8 out of 5 stars,850,https://amazon.in//Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-53,,,,
,,,,,,,,
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.7 out of 5 stars,904,https://amazon.in//Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-54,,,,
,,,,,,,,
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,489,4.2 out of 5 stars,"3,409",https://amazon.in//Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-55,,,,
,,,,,,,,
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,099",4.4 out of 5 stars,"16,898",https://amazon.in//F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-56,,,,
,,,,,,,,
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,3.6 out of 5 stars,860,https://amazon.in//School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-57,,,,
,,,,,,,,
"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",998,4.2 out of 5 stars,909,https://amazon.in//Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-58,,,,
,,,,,,,,
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,4.2 out of 5 stars,196,https://amazon.in//Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_59?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-59,,,,
,,,,,,,,
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,4.0 out of 5 stars,"13,806",https://amazon.in//Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_60?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-60,,,,
,,,,,,,,
Gear Casual Backpack,399,3.8 out of 5 stars,"2,196",https://amazon.in//Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-61,,,,
,,,,,,,,
Gear Polyester 23 Cms Travel Duffle Bag (Black),479,4.3 out of 5 stars,"2,156",https://amazon.in//Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-62,,,,
,,,,,,,,
